"Some top phrases containing 5 words (without punctuation marks)","Occurrences"
"de heer roemer sp ik",12
"de heer van der staaij",8
"de heer roemer sp dat",7
"de heer roemer sp het",6
"de heer van haersma buma",6
"heer van haersma buma cda",6
"de heer samsom pvda ik",5
"de partij van de arbeid",5
"heer van der staaij sgp",5
"de heer zijlstra vvd ik",5
"de heer roemer sp als",4
"het afschaffen van het eigen",4
"de heer roemer sp ja",4
"om ervoor te zorgen dat",4
"de heer roemer sp wij",4
"heer roemer sp het is",4
"afschaffen van het eigen risico",4
"de heer roemer sp nou",3
"de voorzitter dank u wel",3
"de voorzitter tot slot op",3
"de heer roemer sp de",3
"ik ben blij dat u",3
"de heer pechtold d66 ik",3
"tot slot op dit punt",3
"tussen segregatie en bijzonder onderwijs",3
"voorzitter tot slot op dit",3
"mensen die in de zorg",3
"de heer wilders pvv ik",3
"zien waar je het geld",3
"die in de zorg werken",3
