"Some top phrases containing 4 words (without punctuation marks)","Occurrences"
"de heer roemer sp",80
"de heer zijlstra vvd",14
"de heer pechtold d66",14
"dat de heer roemer",13
"van het eigen risico",13
"heer roemer sp ik",12
"de heer samsom pvda",10
"de heer wilders pvv",9
"heer van der staaij",8
"de heer van der",8
"de heer segers christenunie",7
"heer roemer sp dat",7
"van haersma buma cda",6
"de voorzitter tot slot",6
"de heer klaver groenlinks",6
"ervoor te zorgen dat",6
"de heer van haersma",6
"marktwerking in de zorg",6
"heer van haersma buma",6
"heer roemer sp het",6
"de partij van de",6
"is de heer roemer",5
"als het gaat om",5
"van der staaij sgp",5
"met de heer roemer",5
"van de heer roemer",5
"heer samsom pvda ik",5
"partij van de arbeid",5
"die in de zorg",5
"niet aan de orde",5
