"Some top phrases containing 3 words (without punctuation marks)","Occurrences"
"de heer roemer",154
"heer roemer sp",80
"het eigen risico",49
"in de zorg",29
"de heer zijlstra",24
"de heer pechtold",18
"de heer samsom",15
"heer pechtold d66",14
"heer zijlstra vvd",14
"dat de heer",14
"de heer van",14
"van het eigen",13
"roemer sp ik",12
"van de zorg",11
"heer samsom pvda",10
"van de sp",10
"de heer wilders",10
"van der staaij",9
"de heer segers",9
"over de vraag",9
"heer wilders pvv",9
"1 3 miljard",9
"heer van der",8
"de afgelopen jaren",8
"ik denk dat",8
"een land waar",8
"van de heer",8
"dat is wat",8
"in plaats van",7
"te zorgen dat",7
