"Some top phrases containing 8 words (without punctuation marks)","Occurrences"
"woord aan de heer roemer namens de sp",2
"de voorzitter de heer roemer heeft het woord",2
"het woord aan de heer roemer namens de",2
"aan de heer roemer namens de sp fractie",2
"de heer van der staaij sgp het is",2
"de heer roemer met mij van mening dat",2
"nu het woord aan de heer roemer namens",2
"is de heer roemer met mij van mening",2
"zich uit over de toekomst van ons land",2
"ik hoop dat ik op u kan rekenen",2
