"Some top phrases containing 6 words (without punctuation marks)","Occurrences"
"je zult maar een oudere zijn",3
"voor de rest van hun leven",3
"interessant om te kijken naar een",2
"terug te vinden zijn in de",2
"noodkreet van het leger des heils",2
"dan heb ik het nog niet",2
"u loopt daar niet mee weg",2
"mensen die wel vooruit willen die",2
"om te kijken naar een basisinkomen",2
"niet terug te vinden zijn in",2
"thuis op de bank te zitten",2
"dat is een werkelijkheid van de",2
"ik heb het over de pensioenen",2
"aan de andere kant van de",2
"de andere kant van de kloof",2
"heb ik het nog niet eens",2
"zult maar een oudere zijn wiens",2
"rest van hun leven het stempeltje",2
"nog zorgen maken over allerlei zaken",2
"mensen die aan de andere kant",2
"van mensen die wel vooruit willen",2
"die aan de andere kant van",2
"de heer wilders pvv dat is",2
"meerderheid van mensen die wel vooruit",2
"die niet terug te vinden zijn",2
"de rest van hun leven het",2
"andere kant van de kloof staan",2
"er zijn nog nooit zo veel",2
"ik het nog niet eens over",2
"met elkaar met 17 miljoen mensen",2
