"Some top phrases containing 3 words (without punctuation marks)","Occurrences"
"de heer wilders",25
"de minister president",17
"de heer krol",12
"heer wilders pvv",11
"aan de slag",10
"de heer roemer",9
"de heer segers",7
"een goed pensioen",6
"jong en oud",6
"minister rutte ik",6
"mevrouw thieme pvdd",6
"dat is een",6
"van dit kabinet",5
"ik denk dat",5
"we weten dat",5
"voor de rest",4
"dat we de",4
"de heer klaver",4
"de afgelopen jaren",4
"heer roemer sp",4
"minister rutte ja",4
"heer krol 50plus",4
"de slag te",4
"die aan de",4
"de sociale zekerheid",4
"voor mij is",4
"de rest van",4
"ik heb het",4
"dat is niet",4
"aan de kant",4
