"Some top phrases containing 7 words (without punctuation marks)","Occurrences"
"interessant om te kijken naar een basisinkomen",2
"heb ik het nog niet eens over",2
"de andere kant van de kloof staan",2
"van mensen die wel vooruit willen die",2
"de rest van hun leven het stempeltje",2
"aan de andere kant van de kloof",2
"voor de rest van hun leven het",2
"die niet terug te vinden zijn in",2
"die aan de andere kant van de",2
"meerderheid van mensen die wel vooruit willen",2
"je zult maar een oudere zijn wiens",2
"dan heb ik het nog niet eens",2
"mensen die aan de andere kant van",2
"niet terug te vinden zijn in de",2
